Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
RM-08-M43,,M43=6261.07,Round,50,6.59,8,2,3,3,2.7,3,3,3,3.0,0.5,0.5,0.5,0.5,10,9,11,10,0.43,0.25,0.17
RM-08-M43,,M43=6261.08,Square,39.99,11.73,7,5,5,5,5.0,1,2.5,3,2.2,1,0.5,0.5,0.7,13,15,14,14,1.19,0.52,0.66
RM-08-M43,PICFM-49/22-RM10,M43=6480.01,Oval,99.95,19.28,9,7,7,7,7.0,4,3,3,3.3,2,0.5,2,1.5,25,24,26,25,8.79,1.45,7.2
RM-08-M43,,M43=6480.02,Round,89.12,18.11,7,3,7,8,6.0,3,3,3,3.0,3,2,3,2.7,18,20,21,20,4.71,0.94,3.76
RM-08-M43,,M43=6480.03,Round,62.69,14.01,5,5,6,6,5.7,3,3,4,3.3,1,2,3,2.0,15,17,15,16,1.47,0.47,1
RM-08-M43,,M43=6480.04,Round,55.92,18.14,9,6,8,8,7.3,3,4,4,3.7,2,2,2,2.0,15,17,16,16,2.76,0.63,2.06
RM-08-M43,,M43=6480.05,Oval,40.31,19.51,10,8,5,7,6.7,3,4,2.5,3.2,2.5,0.5,2,1.7,12,12,13,12,3.46,0.37,2.87
RM-08-M43,,M43=6480.06,Round,42,15.58,6,7,9,9,8.3,5,5,3,4.3,8,9,7,8.0,4.5,4.5,4,4,4.7,0.1,3.41
RM-08-M43,,M43=6480.07,Rectangle,42.82,13.86,8,3,4,5,4.0,2.5,3,3,2.8,0.5,1,0.5,0.7,12,13,8,11,0.63,0.12,0.5
RM-08-M43,,M43=6480.08,Oval,31.2,14.69,9,4,6.5,5,5.2,5,3,3,3.7,2.5,2,2,2.2,10,9,10,10,1.18,0.19,0.97
RM-08-M43,PICFM-49/22-RM11,M43=6321.01,Oval,33.55,9.54,8,2,3,2,2.3,3,2,2,2.3,0.5,1,1,0.8,13,13,11,12,0.46,0.17,0.29
RM-08-M43,,M43=6321.02,Oval,29.32,15.28,8,7,5,7,6.3,2.5,2.5,4,3.0,2,0.50,2.000,1.5,9,10,8,9,1.16,0.21,0.93
RM-08-M43,,M43=6321.03,Rectangle,36.48,14.03,8,4,5,5,4.7,1.5,3,4,2.8,0.5,0.5,1.5,0.8,10,12,12,11,1.09,0.23,0.84
RM-08-M43,,M43=6321.04,Oval,29.68,9.84,9,2,2.5,4,2.8,6.5,2.5,3,4.0,0.5,1,1,0.8,8,7,8,8,0.5,0.12,0.34
RM-08-M43,,M43=6321.05,Triangle,35.39,9.59,10,2,2,2,2.0,2.5,1.5,1.5,1.8,0.25,0.5,0.5,0.4,11,11,12,11,0.34,0.13,0.19
RM-08-M43,,M43=6321.06,Rectangle,24.91,7.95,8,2,3,2.5,2.5,2.5,3,2.5,2.7,1,1,1,1.0,6,7,7,7,0.29,0.13,0.16
